WARNING: SYSTEM:App name: SDL Application
WARNING: SYSTEM:App version: <unspecified>
WARNING: SYSTEM:App ID: <unspecified>
WARNING: SYSTEM:SDL revision: release-3.2.16-0-gc9a6709bd (libsdl.org)
WARNING: RENDER:Created renderer: metal
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Leather_Armor with reach=1
DEBUG EQUIPMENT: Equipped Shield with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Shield with reach=1
DEBUG EQUIPMENT: Equipped Shield with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Shield with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Dagger with reach=1
DEBUG EQUIPMENT: Equipped Shield with reach=1
DEBUG EQUIPMENT: Equipped Shield with reach=1
DEBUG REGISTRY: get_weapon('shortbow') -> reach=8, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('longbow') -> reach=10, two_handed=False
DEBUG REGISTRY: get_weapon('crossbow') -> reach=8, two_handed=False
INFO: Slime at (42, 21) attempts move: moving towards Player
INFO: Orc at (41, 20) attempts item_seeking_movement: moving towards item
INFO: Orc at (42, 20) turn complete: item_seeking
INFO: Orc at (88, 88) turn complete: no actions taken
INFO: Orc at (88, 90) turn complete: no actions taken
INFO: Orc at (73, 74) turn complete: no actions taken
INFO: Orc at (77, 73) turn complete: no actions taken
INFO: Orc at (132, 62) turn complete: no actions taken
INFO: Orc at (137, 15) turn complete: no actions taken
INFO: Orc at (17, 93) turn complete: no actions taken
INFO: Orc at (17, 94) turn complete: no actions taken
INFO: Orc at (91, 32) turn complete: no actions taken
INFO: Orc at (73, 9) turn complete: no actions taken
INFO: Orc at (136, 3) turn complete: no actions taken
INFO: Orc at (62, 21) turn complete: no actions taken
INFO: Orc at (60, 21) turn complete: no actions taken
INFO: Orc at (139, 56) turn complete: no actions taken
INFO: Orc at (137, 60) turn complete: no actions taken
INFO: Orc at (74, 28) turn complete: no actions taken
INFO: Orc at (62, 23) turn complete: no actions taken
INFO: Orc at (135, 6) turn complete: no actions taken
INFO: Slime at (43, 21) attempts move: moving towards Player
INFO: Orc at (42, 20) attempts item_pickup: attempting to pick up Fireball Scroll
INFO: Orc at (42, 20) inventory_change SUCCESS: added Fireball Scroll (inventory: 1 items)
INFO: Orc at (42, 20) item_pickup SUCCESS: picked up Fireball Scroll from (42, 20)
INFO: Orc at (42, 20) turn complete: item_seeking
INFO: Orc at (88, 88) turn complete: no actions taken
INFO: Orc at (88, 90) turn complete: no actions taken
INFO: Orc at (73, 74) turn complete: no actions taken
INFO: Orc at (77, 73) turn complete: no actions taken
INFO: Orc at (132, 62) turn complete: no actions taken
INFO: Orc at (137, 15) turn complete: no actions taken
INFO: Orc at (17, 93) turn complete: no actions taken
INFO: Orc at (17, 94) turn complete: no actions taken
INFO: Orc at (91, 32) turn complete: no actions taken
INFO: Orc at (73, 9) turn complete: no actions taken
INFO: Orc at (136, 3) turn complete: no actions taken
INFO: Orc at (62, 21) turn complete: no actions taken
INFO: Orc at (60, 21) turn complete: no actions taken
INFO: Orc at (139, 56) turn complete: no actions taken
INFO: Orc at (137, 60) turn complete: no actions taken
INFO: Orc at (74, 28) turn complete: no actions taken
INFO: Orc at (62, 23) turn complete: no actions taken
INFO: Orc at (135, 6) turn complete: no actions taken
INFO: Slime at (43, 22) attempts move: moving towards Player
INFO: Orc at (42, 20) attempts item_usage: attempting to use Fireball Scroll
