run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,48122d0b0faa4ef681b2f2e4a26ee110,2101252754,tight_brutal_funnel,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,4.16,1,1,7,15,1,0,600,158,1,0.0,152,1,"{'start_auto_explore': 92, 'move': 42, 'noop': 1, 'pickup': 15, 'drink_potion': 1, 'abort': 1}","{'in_explore': 93, 'in_combat': 43, 'auto_explore_active': 91, 'visible_enemies_turns': 43, 'low_hp': 39, 'in_loot': 16, 'floor_complete': 1}","{'explore': 92, 'combat_engage': 42, 'idle': 1, 'loot': 15, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:01:26.059731,36,56,0.6428571428571429,
2,6b9853b207104a2a87c1eb8952a51b64,2105511985,tight_brutal_funnel,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.28,1,1,7,14,1,0,600,143,1,0.0,136,1,"{'start_auto_explore': 77, 'move': 42, 'noop': 1, 'pickup': 14, 'drink_potion': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 43, 'auto_explore_active': 76, 'visible_enemies_turns': 43, 'low_hp': 32, 'in_loot': 15, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 42, 'idle': 1, 'loot': 14, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:01:29.394163,40,56,0.7142857142857143,
3,ed004aea983c46f68a5b4c15e93aa030,2108845817,tight_brutal_funnel,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.85,1,1,7,12,1,0,600,122,1,0.0,118,1,"{'start_auto_explore': 68, 'move': 35, 'noop': 1, 'pickup': 12, 'drink_potion': 1, 'abort': 1}","{'in_explore': 69, 'in_combat': 36, 'auto_explore_active': 67, 'visible_enemies_turns': 36, 'low_hp': 32, 'in_loot': 13, 'floor_complete': 1}","{'explore': 68, 'combat_engage': 35, 'idle': 1, 'loot': 12, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:01:32.296687,31,56,0.5535714285714286,
4,886a4650553f4be7bfef2ef6dbf307c2,2111748257,tight_brutal_funnel,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,1.27,1,1,4,0,0,0,240,71,1,0.0,53,1,"{'start_auto_explore': 3, 'move': 48, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 50, 'auto_explore_active': 7, 'visible_enemies_turns': 52, 'low_hp': 45}","{'explore': 3, 'combat_engage': 48, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T08:01:33.614238,-1,56,-0.017857142857142856,
5,ef6a1d3092174de7a63ba0f1df15fb59,2113065639,tight_brutal_funnel,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.92,1,1,7,15,1,0,600,171,1,0.0,158,1,"{'start_auto_explore': 91, 'move': 49, 'noop': 1, 'pickup': 15, 'drink_potion': 1, 'abort': 1}","{'in_explore': 92, 'in_combat': 50, 'auto_explore_active': 92, 'visible_enemies_turns': 52, 'low_hp': 45, 'in_loot': 16, 'floor_complete': 1}","{'explore': 91, 'combat_engage': 49, 'idle': 1, 'loot': 15, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:01:37.585267,38,56,0.6785714285714286,
6,cd978d0512a543a782810b8010eeb3e2,2117036732,tight_brutal_funnel,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,1.0,1,1,4,0,0,0,240,56,1,0.0,42,1,"{'start_auto_explore': 3, 'move': 37, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 39, 'auto_explore_active': 6, 'visible_enemies_turns': 41, 'low_hp': 31}","{'explore': 3, 'combat_engage': 37, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T08:01:38.637296,-3,56,-0.05357142857142857,
7,040a13de9eba4ec2a275c0918ec1cf62,2118088596,tight_brutal_funnel,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.33,1,1,7,14,1,0,600,149,1,0.0,137,1,"{'start_auto_explore': 70, 'move': 50, 'noop': 1, 'pickup': 14, 'drink_potion': 1, 'abort': 1}","{'in_explore': 71, 'in_combat': 51, 'auto_explore_active': 72, 'visible_enemies_turns': 53, 'low_hp': 42, 'in_loot': 15, 'floor_complete': 1}","{'explore': 70, 'combat_engage': 50, 'idle': 1, 'loot': 14, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:01:42.036063,39,56,0.6964285714285714,
8,ace5c82ead374ab48189692c423c616a,2121487932,tight_brutal_funnel,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.52,1,1,7,0,0,0,240,92,1,0.0,63,1,"{'start_auto_explore': 3, 'move': 58, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 60, 'auto_explore_active': 7, 'visible_enemies_turns': 61, 'low_hp': 53}","{'explore': 3, 'combat_engage': 58, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T08:01:43.606677,0,56,0.0,
9,4fdce06b51f94b63b6d45bab5618d26f,2123057964,tight_brutal_funnel,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.38,1,1,6,0,0,0,240,73,1,0.0,57,1,"{'start_auto_explore': 3, 'move': 52, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 54, 'auto_explore_active': 10, 'visible_enemies_turns': 56, 'low_hp': 47}","{'explore': 3, 'combat_engage': 52, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T08:01:45.043637,-7,56,-0.125,
10,c8d752d5eafa45fc87dbc0bb077ad978,2124495115,tight_brutal_funnel,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,1.24,1,1,4,0,0,0,240,69,1,0.0,52,1,"{'start_auto_explore': 3, 'move': 47, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 49, 'auto_explore_active': 7, 'visible_enemies_turns': 51, 'low_hp': 43}","{'explore': 3, 'combat_engage': 47, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T08:01:46.342830,-6,56,-0.10714285714285714,
