run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,8656a0a4deb64edc8e4b5d1ef0205470,643042319,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.48,1,1,4,0,0,0,306,54,1,0.0,44,1,"{'start_auto_explore': 3, 'move': 39, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 41, 'auto_explore_active': 8, 'visible_enemies_turns': 43, 'low_hp': 35}","{'explore': 3, 'combat_engage': 39, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:53:53.021307,-1,56,-0.017857142857142856,
2,e1d199a1c1e24e5692843ec3a7a3caa3,644596740,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.14,1,1,5,13,1,0,600,135,1,0.0,123,1,"{'start_auto_explore': 69, 'move': 38, 'noop': 1, 'drink_potion': 1, 'pickup': 13, 'abort': 1}","{'in_explore': 70, 'in_combat': 40, 'auto_explore_active': 68, 'visible_enemies_turns': 39, 'low_hp': 33, 'in_loot': 13, 'floor_complete': 1}","{'explore': 69, 'combat_engage': 38, 'idle': 1, 'heal_low_hp': 1, 'loot': 13, 'no_stairs': 1}",,2025-12-12T17:53:56.216551,37,56,0.6607142857142857,
3,af2cd2fcbd114ff7a94b6d6b4b3a1a38,647791896,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.88,1,1,5,18,1,0,600,162,1,0.0,151,1,"{'start_auto_explore': 85, 'move': 45, 'noop': 1, 'drink_potion': 1, 'pickup': 18, 'abort': 1}","{'in_explore': 86, 'in_combat': 47, 'auto_explore_active': 84, 'visible_enemies_turns': 46, 'low_hp': 40, 'in_loot': 18, 'floor_complete': 1}","{'explore': 85, 'combat_engage': 45, 'idle': 1, 'heal_low_hp': 1, 'loot': 18, 'no_stairs': 1}",,2025-12-12T17:54:00.148935,37,56,0.6607142857142857,
4,45923567a99143568790e1ac81d69c9d,651724487,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.57,1,1,5,17,1,0,600,144,1,0.0,139,1,"{'start_auto_explore': 88, 'move': 31, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 89, 'in_combat': 33, 'auto_explore_active': 87, 'visible_enemies_turns': 32, 'low_hp': 25, 'in_loot': 17, 'floor_complete': 1}","{'explore': 88, 'combat_engage': 31, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:54:03.771237,39,56,0.6964285714285714,
5,4ab36c9bf90643189c2fabe3103caf6e,655346794,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.78,1,1,5,17,1,0,600,152,1,0.0,146,1,"{'start_auto_explore': 88, 'move': 38, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 89, 'in_combat': 40, 'auto_explore_active': 87, 'visible_enemies_turns': 39, 'low_hp': 32, 'in_loot': 17, 'floor_complete': 1}","{'explore': 88, 'combat_engage': 38, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:54:07.603863,38,56,0.6785714285714286,
6,2c1ec419f79e4c47b1a1c84567d92c7b,659179349,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.4,1,1,4,0,0,0,306,72,1,0.0,56,1,"{'start_auto_explore': 3, 'move': 51, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 53, 'auto_explore_active': 8, 'visible_enemies_turns': 55, 'low_hp': 45}","{'explore': 3, 'combat_engage': 51, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:09.057608,-1,56,-0.017857142857142856,
7,88a2be8ad2e441989be33fc34c2f90b4,660632978,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.62,1,1,5,15,1,0,600,149,1,0.0,140,1,"{'start_auto_explore': 85, 'move': 37, 'noop': 1, 'drink_potion': 1, 'pickup': 15, 'abort': 1}","{'in_explore': 86, 'in_combat': 39, 'auto_explore_active': 84, 'visible_enemies_turns': 38, 'low_hp': 32, 'in_loot': 15, 'floor_complete': 1}","{'explore': 85, 'combat_engage': 37, 'idle': 1, 'heal_low_hp': 1, 'loot': 15, 'no_stairs': 1}",,2025-12-12T17:54:12.735128,39,56,0.6964285714285714,
8,a8724a4bab124b4c907348898fe6067d,664310813,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.8,1,1,5,16,1,0,600,144,1,0.0,140,1,"{'start_auto_explore': 87, 'move': 34, 'noop': 1, 'drink_potion': 1, 'pickup': 16, 'abort': 1}","{'in_explore': 88, 'in_combat': 36, 'auto_explore_active': 86, 'visible_enemies_turns': 35, 'low_hp': 28, 'in_loot': 16, 'floor_complete': 1}","{'explore': 87, 'combat_engage': 34, 'idle': 1, 'heal_low_hp': 1, 'loot': 16, 'no_stairs': 1}",,2025-12-12T17:54:16.603356,38,56,0.6785714285714286,
9,8107e92cfac84888a05dfb1bf5b887c4,668178943,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.46,1,1,3,0,0,0,289,69,1,0.0,54,1,"{'start_auto_explore': 3, 'move': 49, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 51, 'auto_explore_active': 8, 'visible_enemies_turns': 53, 'low_hp': 47}","{'explore': 3, 'combat_engage': 49, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:18.113084,-5,56,-0.08928571428571429,
10,0f8761d272c34423a62bcb1b2dc4aa70,669688425,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.65,1,1,5,2,1,0,289,77,1,0.0,62,1,"{'start_auto_explore': 3, 'move': 48, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 56, 'auto_explore_active': 10, 'visible_enemies_turns': 51, 'low_hp': 51, 'in_loot': 3}","{'explore': 3, 'combat_engage': 48, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:19.832262,34,56,0.6071428571428571,
11,ac3bffe96301434b9d3a16eb8d6a1575,671407844,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.49,1,1,5,2,1,0,289,72,1,0.0,56,1,"{'start_auto_explore': 3, 'move': 42, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 50, 'auto_explore_active': 11, 'visible_enemies_turns': 45, 'low_hp': 39, 'in_loot': 3}","{'explore': 3, 'combat_engage': 42, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:21.390916,39,56,0.6964285714285714,
12,68e131a978454ef0947550ceee55445b,672966181,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,1.58,1,1,5,1,1,0,289,83,1,0.0,60,1,"{'start_auto_explore': 3, 'move': 53, 'noop': 1, 'drink_potion': 1, 'pickup': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 55, 'auto_explore_active': 7, 'visible_enemies_turns': 56, 'low_hp': 50, 'in_loot': 2}","{'explore': 3, 'combat_engage': 53, 'idle': 1, 'heal_low_hp': 1, 'loot': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:23.036650,38,56,0.6785714285714286,
13,771a1cf873ed441d963239e7d2f769f7,674612905,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,1.07,1,1,5,1,1,0,289,50,1,0.0,40,1,"{'start_auto_explore': 3, 'move': 33, 'noop': 1, 'drink_potion': 1, 'pickup': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 35, 'auto_explore_active': 8, 'visible_enemies_turns': 36, 'low_hp': 27, 'in_loot': 2}","{'explore': 3, 'combat_engage': 33, 'idle': 1, 'heal_low_hp': 1, 'loot': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:24.161824,31,56,0.5535714285714286,
14,5b7fed1a355049239cbf09de66a98cfa,675737035,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.86,1,1,5,17,1,0,600,139,1,0.0,140,1,"{'start_auto_explore': 87, 'move': 33, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 88, 'in_combat': 35, 'auto_explore_active': 86, 'visible_enemies_turns': 34, 'low_hp': 26, 'in_loot': 17, 'floor_complete': 1}","{'explore': 87, 'combat_engage': 33, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:54:28.077783,40,56,0.7142857142857143,
15,6073edd901a941c78f8626d8d84b942b,679653291,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.08,1,1,4,0,0,0,289,49,1,0.0,41,1,"{'start_auto_explore': 3, 'move': 36, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 38, 'auto_explore_active': 8, 'visible_enemies_turns': 40, 'low_hp': 32}","{'explore': 3, 'combat_engage': 36, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:29.222911,-2,56,-0.03571428571428571,
16,3374d22fec7c4341b0d4763f6eb8d5fe,680798177,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,5.72,1,1,5,14,1,0,600,132,1,0.0,131,1,"{'start_auto_explore': 82, 'move': 32, 'noop': 1, 'drink_potion': 1, 'pickup': 14, 'abort': 1}","{'in_explore': 83, 'in_combat': 34, 'auto_explore_active': 81, 'visible_enemies_turns': 33, 'low_hp': 26, 'in_loot': 14, 'floor_complete': 1}","{'explore': 82, 'combat_engage': 32, 'idle': 1, 'heal_low_hp': 1, 'loot': 14, 'no_stairs': 1}",,2025-12-12T17:54:35.012136,35,56,0.625,
17,9924636fae4d49689f51594ba1799c14,686587831,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,13.12,1,1,5,17,1,0,600,147,1,0.0,142,1,"{'start_auto_explore': 88, 'move': 34, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 89, 'in_combat': 36, 'auto_explore_active': 87, 'visible_enemies_turns': 35, 'low_hp': 28, 'in_loot': 17, 'floor_complete': 1}","{'explore': 88, 'combat_engage': 34, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:54:48.187688,39,56,0.6964285714285714,
