run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,1c1d895788e94eeaa281d8f48cd22863,1182726907,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,1.0,1,1,1,0,3,0,237,31,1,0.0,26,1,"{'start_auto_explore': 1, 'move': 21, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 25, 'auto_explore_active': 1, 'visible_enemies_turns': 25, 'low_hp': 8}","{'explore': 1, 'combat_engage': 21, 'potion': 2, 'heal_low_hp': 1, 'idle': 1}",,2025-12-13T16:07:09.179869,-3,56,-0.05357142857142857,0
2,cd98fdf11dd042f48fbff14bac24c25d,1183860438,orc_gauntlet_5rooms,balanced,death,death,,all_areas_explored,5.69,1,1,9,16,6,0,1080,231,1,0.0,218,1,"{'start_auto_explore': 78, 'move': 117, 'drink_potion': 6, 'pickup': 16, 'noop': 1}","{'in_explore': 78, 'in_combat': 123, 'auto_explore_active': 121, 'visible_enemies_turns': 144, 'low_hp': 12, 'in_loot': 17, 'floor_complete': 17}","{'explore': 78, 'combat_engage': 117, 'heal_low_hp': 5, 'loot': 16, 'potion': 1, 'idle': 1}",,2025-12-13T16:07:14.955774,-3,56,-0.05357142857142857,0
3,0011e3645a1c4aa7b51b1cc411c3f143,1189636281,orc_gauntlet_5rooms,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.91,1,1,9,16,6,0,545,167,1,0.0,157,1,"{'start_auto_explore': 52, 'move': 82, 'drink_potion': 6, 'pickup': 16, 'abort': 1}","{'in_explore': 52, 'in_combat': 89, 'auto_explore_active': 58, 'visible_enemies_turns': 106, 'low_hp': 36, 'in_loot': 16}","{'explore': 52, 'combat_engage': 82, 'heal_low_hp': 5, 'potion': 1, 'loot': 16, 'stuck_movement_blocked': 1}",,2025-12-13T16:07:18.919116,44,56,0.7857142857142857,
4,c932e3d9ae8448e3863b8dd79ed285b0,1193599688,orc_gauntlet_5rooms,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,5.74,1,1,10,19,6,0,1080,210,1,0.0,220,1,"{'start_auto_explore': 117, 'move': 77, 'drink_potion': 6, 'pickup': 19, 'abort': 1}","{'in_explore': 118, 'in_combat': 83, 'auto_explore_active': 115, 'visible_enemies_turns': 95, 'low_hp': 108, 'in_loot': 19, 'floor_complete': 1}","{'explore': 117, 'combat_engage': 77, 'heal_low_hp': 6, 'loot': 19, 'no_stairs': 1}",,2025-12-13T16:07:24.711023,17,56,0.30357142857142855,
5,efcc7698268d41169c03144d845826af,1199391459,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,1.21,1,1,3,0,3,0,388,57,1,0.0,50,1,"{'start_auto_explore': 1, 'move': 45, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 49, 'auto_explore_active': 1, 'visible_enemies_turns': 49, 'low_hp': 26}","{'explore': 1, 'combat_engage': 45, 'potion': 2, 'heal_low_hp': 1, 'idle': 1}",,2025-12-13T16:07:25.992030,-1,56,-0.017857142857142856,0
6,96c95398e94b4f238b06aa69df14a10d,1200672419,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.6,1,1,1,0,3,0,237,30,1,0.0,26,1,"{'start_auto_explore': 1, 'move': 21, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 25, 'auto_explore_active': 1, 'visible_enemies_turns': 25, 'low_hp': 10}","{'explore': 1, 'combat_engage': 21, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:26.678058,-5,56,-0.08928571428571429,0
7,2b2f918f57a340489ed85b7ffe9dc279,1201358320,orc_gauntlet_5rooms,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.91,1,1,10,19,6,0,1080,252,1,0.0,253,1,"{'start_auto_explore': 145, 'move': 81, 'drink_potion': 7, 'pickup': 19, 'abort': 1}","{'in_explore': 146, 'in_combat': 88, 'auto_explore_active': 158, 'visible_enemies_turns': 105, 'low_hp': 10, 'in_loot': 19, 'floor_complete': 1}","{'explore': 145, 'combat_engage': 81, 'heal_low_hp': 5, 'loot': 19, 'potion': 2, 'no_stairs': 1}",,2025-12-13T16:07:33.658550,55,56,0.9821428571428571,
8,0c4ab92006464ae0a423505a9168f0cc,1208339185,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,1.02,1,1,2,0,3,0,281,48,1,0.0,43,1,"{'start_auto_explore': 1, 'move': 38, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 42, 'auto_explore_active': 1, 'visible_enemies_turns': 42, 'low_hp': 25}","{'explore': 1, 'combat_engage': 38, 'potion': 1, 'heal_low_hp': 2, 'idle': 1}",,2025-12-13T16:07:34.756119,-2,56,-0.03571428571428571,0
9,65b3f6228c8443248fca0893fcb6f511,1209436451,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.58,1,1,1,0,3,0,237,29,1,0.0,25,1,"{'start_auto_explore': 1, 'move': 20, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 24, 'auto_explore_active': 1, 'visible_enemies_turns': 24, 'low_hp': 7}","{'explore': 1, 'combat_engage': 20, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:07:35.418130,-4,56,-0.07142857142857142,0
10,faded5600e604dcfa465c9f7ae9f4637,1210098374,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,1.19,1,1,3,0,3,0,388,56,1,0.0,49,1,"{'start_auto_explore': 1, 'move': 44, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 48, 'auto_explore_active': 1, 'visible_enemies_turns': 48, 'low_hp': 34}","{'explore': 1, 'combat_engage': 44, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:36.695760,-1,56,-0.017857142857142856,0
11,72a9ee167433414496cf8a365f994d07,1211376059,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,1.17,1,1,2,0,3,0,281,54,1,0.0,48,1,"{'start_auto_explore': 1, 'move': 43, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 47, 'auto_explore_active': 1, 'visible_enemies_turns': 47, 'low_hp': 27}","{'explore': 1, 'combat_engage': 43, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:07:37.944084,0,56,0.0,0
12,79cec018a563407c83dc3da69fae51f9,1212624609,orc_gauntlet_5rooms,balanced,death,death,,other,2.68,1,1,6,13,6,0,516,106,1,0.0,110,1,"{'start_auto_explore': 41, 'move': 49, 'drink_potion': 6, 'pickup': 13, 'noop': 1}","{'in_explore': 41, 'in_combat': 56, 'auto_explore_active': 44, 'visible_enemies_turns': 68, 'low_hp': 8, 'in_loot': 13}","{'explore': 41, 'combat_engage': 49, 'heal_low_hp': 5, 'potion': 1, 'loot': 13, 'idle': 1}",,2025-12-13T16:07:40.708975,-4,56,-0.07142857142857142,0
13,c281750083bd498e9b5917b54a4a320a,1215389406,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.72,1,1,2,0,3,0,237,36,1,0.0,31,1,"{'start_auto_explore': 1, 'move': 26, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 30, 'auto_explore_active': 1, 'visible_enemies_turns': 30, 'low_hp': 12}","{'explore': 1, 'combat_engage': 26, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:41.503550,-5,56,-0.08928571428571429,0
14,a3bfa1c53bb84ba2a6beb8a6caf54ef3,1216183997,orc_gauntlet_5rooms,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,1.13,1,1,3,0,3,0,237,58,1,0.0,46,1,"{'start_auto_explore': 5, 'move': 37, 'drink_potion': 3, 'abort': 1}","{'in_explore': 5, 'in_combat': 41, 'auto_explore_active': 8, 'visible_enemies_turns': 45, 'low_hp': 5}","{'explore': 5, 'combat_engage': 37, 'heal_low_hp': 3, 'stuck_movement_blocked': 1}",,2025-12-13T16:07:42.688478,22,56,0.39285714285714285,
15,930c9ece6ab442678daa7e00a432d78c,1217368671,orc_gauntlet_5rooms,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.66,1,1,7,12,6,0,444,159,1,0.0,148,1,"{'start_auto_explore': 48, 'move': 81, 'drink_potion': 6, 'pickup': 12, 'abort': 1}","{'in_explore': 48, 'in_combat': 88, 'auto_explore_active': 52, 'visible_enemies_turns': 106, 'low_hp': 10, 'in_loot': 12}","{'explore': 48, 'combat_engage': 81, 'heal_low_hp': 6, 'loot': 12, 'stuck_movement_blocked': 1}",,2025-12-13T16:07:46.419784,26,56,0.4642857142857143,
16,4f7e6cdb12a54f409c9c73e43f177f7a,1221100305,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,1.11,1,1,2,0,3,0,281,50,1,0.0,46,1,"{'start_auto_explore': 1, 'move': 41, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 45, 'auto_explore_active': 1, 'visible_enemies_turns': 45, 'low_hp': 24}","{'explore': 1, 'combat_engage': 41, 'potion': 2, 'heal_low_hp': 1, 'idle': 1}",,2025-12-13T16:07:47.604469,-2,56,-0.03571428571428571,0
17,ef772f9c194b4656b076740df5851fcf,1222284794,orc_gauntlet_5rooms,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.55,1,1,10,21,6,0,1080,243,1,0.0,241,1,"{'start_auto_explore': 125, 'move': 88, 'drink_potion': 6, 'pickup': 21, 'abort': 1}","{'in_explore': 126, 'in_combat': 94, 'auto_explore_active': 138, 'visible_enemies_turns': 111, 'low_hp': 17, 'in_loot': 21, 'floor_complete': 1}","{'explore': 125, 'combat_engage': 88, 'heal_low_hp': 5, 'potion': 1, 'loot': 21, 'no_stairs': 1}",,2025-12-13T16:07:54.213110,33,56,0.5892857142857143,
18,f8f62f8c5b7741b38a9fffcff8962b55,1228893631,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.65,1,1,1,0,3,0,237,32,1,0.0,28,1,"{'start_auto_explore': 1, 'move': 23, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 27, 'auto_explore_active': 1, 'visible_enemies_turns': 27, 'low_hp': 9}","{'explore': 1, 'combat_engage': 23, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:07:54.935964,-3,56,-0.05357142857142857,0
19,804c38ca4d01451cb29835b26a5eb8f8,1229616288,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,2.08,1,1,3,0,3,0,520,89,1,0.0,82,1,"{'start_auto_explore': 1, 'move': 77, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 81, 'auto_explore_active': 1, 'visible_enemies_turns': 81, 'low_hp': 64}","{'explore': 1, 'combat_engage': 77, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:57.100436,-1,56,-0.017857142857142856,0
20,dd7039e283524e15b099c657626e2796,1231780833,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.35,1,1,1,0,0,0,237,17,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 2}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T16:07:57.532887,-3,56,-0.05357142857142857,1
21,c58d82b43f784f9c8744d3a69b01a076,1232213072,orc_gauntlet_5rooms,balanced,death,death,,other,1.98,1,1,3,0,3,0,500,91,1,0.0,79,1,"{'start_auto_explore': 3, 'move': 72, 'drink_potion': 3, 'noop': 1}","{'in_explore': 3, 'in_combat': 76, 'auto_explore_active': 5, 'visible_enemies_turns': 78, 'low_hp': 42}","{'explore': 3, 'combat_engage': 72, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:59.601053,-4,56,-0.07142857142857142,0
