run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,55e1fa0448b548859d6f0b0cd69c542d,375351969,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,3.2,1,1,3,0,0,0,600,112,1,0.0,111,1,"{'start_auto_explore': 79, 'move': 30, 'noop': 1, 'abort': 1}","{'in_explore': 80, 'in_combat': 31, 'auto_explore_active': 77, 'visible_enemies_turns': 31, 'low_hp': 104, 'floor_complete': 1}","{'explore': 79, 'combat_engage': 30, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:27.049606,-1,56,-0.017857142857142856,
2,765fefe10d83412f93233972ab647d66,378625206,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.63,1,1,3,0,0,0,600,101,1,0.0,103,1,"{'start_auto_explore': 77, 'move': 24, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 25, 'auto_explore_active': 75, 'visible_enemies_turns': 25, 'low_hp': 93, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 24, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:29.729319,0,56,0.0,
3,a1a5d01ab8954e609ca19d09b1bad400,381304825,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.19,1,1,3,0,0,0,600,85,1,0.0,85,1,"{'start_auto_explore': 61, 'move': 22, 'noop': 1, 'abort': 1}","{'in_explore': 62, 'in_combat': 23, 'auto_explore_active': 60, 'visible_enemies_turns': 23, 'low_hp': 73, 'floor_complete': 1}","{'explore': 61, 'combat_engage': 22, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:31.968310,-1,56,-0.017857142857142856,
4,927b9addcd4b41b6bfc0716710e35de5,383543725,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.38,1,1,3,0,0,0,600,93,1,0.0,93,1,"{'start_auto_explore': 66, 'move': 25, 'noop': 1, 'abort': 1}","{'in_explore': 67, 'in_combat': 26, 'auto_explore_active': 64, 'visible_enemies_turns': 26, 'low_hp': 86, 'floor_complete': 1}","{'explore': 66, 'combat_engage': 25, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:34.407265,-3,56,-0.05357142857142857,
5,4e35735c4c474e84a4f2c4c2df1e88a7,385982714,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,1.95,1,1,3,0,0,0,600,74,1,0.0,77,1,"{'start_auto_explore': 56, 'move': 19, 'noop': 1, 'abort': 1}","{'in_explore': 57, 'in_combat': 20, 'auto_explore_active': 54, 'visible_enemies_turns': 20, 'low_hp': 70, 'floor_complete': 1}","{'explore': 56, 'combat_engage': 19, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:36.412449,-4,56,-0.07142857142857142,
6,541a74e1efe246dc83bb8a85d3ecb3f1,387987713,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.61,1,1,3,0,0,0,600,100,1,0.0,101,1,"{'start_auto_explore': 77, 'move': 22, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 23, 'auto_explore_active': 75, 'visible_enemies_turns': 23, 'low_hp': 94, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 22, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:39.079035,-5,56,-0.08928571428571429,
7,d06cd25214814400a9fbaddcdf86273d,390654562,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.71,1,1,3,0,0,0,600,104,1,0.0,105,1,"{'start_auto_explore': 77, 'move': 26, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 27, 'auto_explore_active': 75, 'visible_enemies_turns': 27, 'low_hp': 94, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 26, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:41.840298,-2,56,-0.03571428571428571,
8,7b656d7b2e204a3c98c5332a031a951d,393415740,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.02,1,1,3,0,0,0,600,76,1,0.0,79,1,"{'start_auto_explore': 61, 'move': 16, 'noop': 1, 'abort': 1}","{'in_explore': 62, 'in_combat': 17, 'auto_explore_active': 60, 'visible_enemies_turns': 17, 'low_hp': 74, 'floor_complete': 1}","{'explore': 61, 'combat_engage': 16, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:43.927845,-2,56,-0.03571428571428571,
9,9464d6ad68114d1186c1f7b2d0076224,395503069,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.4,1,1,3,0,0,0,240,203,1,0.0,204,1,"{'start_auto_explore': 180, 'move': 23, 'noop': 1}","{'in_explore': 180, 'in_combat': 24, 'auto_explore_active': 179, 'visible_enemies_turns': 24, 'low_hp': 198}","{'explore': 180, 'combat_engage': 23, 'idle': 1}",,2025-12-12T17:49:49.376591,-7,56,-0.125,
10,67069adef98c443ab58ef2a6863cd2ec,400953522,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.59,1,1,3,0,0,0,600,94,1,0.0,94,1,"{'start_auto_explore': 66, 'move': 26, 'noop': 1, 'abort': 1}","{'in_explore': 67, 'in_combat': 27, 'auto_explore_active': 64, 'visible_enemies_turns': 27, 'low_hp': 89, 'floor_complete': 1}","{'explore': 66, 'combat_engage': 26, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:49:52.034525,-1,56,-0.017857142857142856,
