run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,482f6a2d5c994128b9ecc1927ee69c05,151421609,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.83,1,1,3,3,0,0,600,101,1,0.0,104,1,"{'start_auto_explore': 76, 'move': 23, 'noop': 1, 'pickup': 3, 'abort': 1}","{'in_explore': 77, 'in_combat': 24, 'auto_explore_active': 75, 'visible_enemies_turns': 24, 'low_hp': 98, 'in_loot': 3, 'floor_complete': 1}","{'explore': 76, 'combat_engage': 23, 'idle': 1, 'loot': 3, 'no_stairs': 1}",,2025-12-12T17:45:42.760670,-1,56,-0.017857142857142856,
2,b84970c4a1fe4c179f581e4f6862f3ad,154336282,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.37,1,1,3,6,0,0,600,97,1,0.0,102,1,"{'start_auto_explore': 59, 'move': 35, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 60, 'in_combat': 36, 'auto_explore_active': 58, 'visible_enemies_turns': 36, 'low_hp': 93, 'in_loot': 6, 'floor_complete': 1}","{'explore': 59, 'combat_engage': 35, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:45:45.180718,-1,56,-0.017857142857142856,
3,d1a0771bb94945c5a9309ded57421f27,156755899,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.47,1,1,3,6,0,0,600,100,1,0.0,103,1,"{'start_auto_explore': 60, 'move': 35, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 61, 'in_combat': 36, 'auto_explore_active': 59, 'visible_enemies_turns': 36, 'low_hp': 96, 'in_loot': 6, 'floor_complete': 1}","{'explore': 60, 'combat_engage': 35, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:45:47.696293,-5,56,-0.08928571428571429,
4,eb491c2d34e0409eb7eb46b11aa686e3,159271748,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.21,1,1,3,5,0,0,600,86,1,0.0,88,1,"{'start_auto_explore': 59, 'move': 22, 'noop': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 60, 'in_combat': 23, 'auto_explore_active': 58, 'visible_enemies_turns': 23, 'low_hp': 81, 'in_loot': 5, 'floor_complete': 1}","{'explore': 59, 'combat_engage': 22, 'idle': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-12T17:45:49.957207,-7,56,-0.125,
5,5b7c8c6624124bb6bfb11768bd8473fc,161532555,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.12,1,1,3,6,0,0,600,122,1,0.0,123,1,"{'start_auto_explore': 81, 'move': 34, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 82, 'in_combat': 35, 'auto_explore_active': 80, 'visible_enemies_turns': 35, 'low_hp': 111, 'in_loot': 6, 'floor_complete': 1}","{'explore': 81, 'combat_engage': 34, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:45:53.125617,-5,56,-0.08928571428571429,
6,5ad172351bce45a09e3b213d89e0fe78,164701153,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.85,1,1,3,7,0,0,600,108,1,0.0,112,1,"{'start_auto_explore': 82, 'move': 21, 'noop': 1, 'pickup': 7, 'abort': 1}","{'in_explore': 83, 'in_combat': 22, 'auto_explore_active': 81, 'visible_enemies_turns': 22, 'low_hp': 106, 'in_loot': 7, 'floor_complete': 1}","{'explore': 82, 'combat_engage': 21, 'idle': 1, 'loot': 7, 'no_stairs': 1}",,2025-12-12T17:45:56.024706,-1,56,-0.017857142857142856,
7,06df7cac6af04095a5301936449db5fe,167600011,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.86,1,1,3,4,0,0,600,113,1,0.0,112,1,"{'start_auto_explore': 79, 'move': 27, 'noop': 1, 'pickup': 4, 'abort': 1}","{'in_explore': 80, 'in_combat': 28, 'auto_explore_active': 78, 'visible_enemies_turns': 28, 'low_hp': 106, 'in_loot': 4, 'floor_complete': 1}","{'explore': 79, 'combat_engage': 27, 'idle': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-12T17:45:58.940399,-3,56,-0.05357142857142857,
8,e711a431c1f0442683aa8eb95778bdb9,170515870,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.23,1,1,3,5,0,0,600,129,1,0.0,127,1,"{'start_auto_explore': 81, 'move': 39, 'noop': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 82, 'in_combat': 40, 'auto_explore_active': 80, 'visible_enemies_turns': 40, 'low_hp': 120, 'in_loot': 5, 'floor_complete': 1}","{'explore': 81, 'combat_engage': 39, 'idle': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-12T17:46:02.232190,-2,56,-0.03571428571428571,
9,4601bfc492bd41d1878f00b7dc0563ad,173808238,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.0,1,1,3,6,0,0,600,112,1,0.0,118,1,"{'start_auto_explore': 83, 'move': 27, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 84, 'in_combat': 28, 'auto_explore_active': 82, 'visible_enemies_turns': 28, 'low_hp': 111, 'in_loot': 6, 'floor_complete': 1}","{'explore': 83, 'combat_engage': 27, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:46:05.286881,-4,56,-0.07142857142857142,
10,1ab0560ed716482cb562e538fae26a94,176862263,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.49,1,1,3,6,0,0,600,99,1,0.0,100,1,"{'start_auto_explore': 59, 'move': 33, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 60, 'in_combat': 34, 'auto_explore_active': 58, 'visible_enemies_turns': 34, 'low_hp': 95, 'in_loot': 6, 'floor_complete': 1}","{'explore': 59, 'combat_engage': 33, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:46:07.832630,-1,56,-0.017857142857142856,
