run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,453d6c8b921f45f5ade279f7060769f3,1270561139,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.77,1,1,0,0,3,0,462,15,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 10, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 10, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:36.778277,-5,56,-0.08928571428571429,0
2,329fcd8897a740a1b66d78da91ad117c,1271458591,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.26,1,1,0,0,3,0,462,10,1,0.0,11,1,"{'start_auto_explore': 1, 'move': 6, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 10, 'auto_explore_active': 1, 'visible_enemies_turns': 10, 'low_hp': 2}","{'explore': 1, 'combat_engage': 6, 'potion': 2, 'heal_low_hp': 1, 'idle': 1}",,2025-12-13T16:08:37.109954,-4,56,-0.07142857142857142,0
3,b72948b4fa024360bd9e14006cccbd7e,1271790085,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.34,1,1,0,0,3,0,462,15,1,0.0,14,1,"{'start_auto_explore': 1, 'move': 9, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 13, 'auto_explore_active': 1, 'visible_enemies_turns': 13, 'low_hp': 5}","{'explore': 1, 'combat_engage': 9, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:37.521992,-2,56,-0.03571428571428571,0
4,be9c3c5328814919b6c1b5311f47eb8b,1272202286,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.36,1,1,0,0,3,0,462,17,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 10, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 10, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:37.961861,-6,56,-0.10714285714285714,0
5,fe1691a5c7764b3d9d1dcd35fb936833,1272642155,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.23,1,1,0,0,1,0,462,9,1,0.0,10,1,"{'start_auto_explore': 1, 'move': 7, 'drink_potion': 1, 'noop': 1}","{'in_explore': 1, 'in_combat': 9, 'auto_explore_active': 1, 'visible_enemies_turns': 9, 'low_hp': 2}","{'explore': 1, 'combat_engage': 7, 'heal_low_hp': 1, 'idle': 1}",,2025-12-13T16:08:38.264618,-4,56,-0.07142857142857142,1
6,cbffcb6445ac4a2b980d5610a727b621,1272944880,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.31,1,1,0,0,3,0,462,12,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 8, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 5}","{'explore': 1, 'combat_engage': 8, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:38.650153,-1,56,-0.017857142857142856,0
7,ef541af062b3431896de6286a14f2fa5,1273330418,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.36,1,1,1,0,3,0,462,15,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 10, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 6}","{'explore': 1, 'combat_engage': 10, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:39.100287,-4,56,-0.07142857142857142,0
8,9bd6efa6c52c485dab546365174614e0,1273780606,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.31,1,1,1,0,3,0,462,13,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 8, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 5}","{'explore': 1, 'combat_engage': 8, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:39.481171,0,56,0.0,0
9,eeae49e2f3324722b21a7dd998176e20,1274161346,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.36,1,1,1,0,3,0,462,15,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 10, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 10, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:39.920179,0,56,0.0,0
10,6c42f9de7e5040ad9a869b0dc6ed48ec,1274600410,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.41,1,1,1,0,3,0,462,17,1,0.0,17,1,"{'start_auto_explore': 1, 'move': 12, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 16, 'auto_explore_active': 1, 'visible_enemies_turns': 16, 'low_hp': 6}","{'explore': 1, 'combat_engage': 12, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:40.410199,-1,56,-0.017857142857142856,0
11,81569fd961de4a539cf73b468fb04c7d,1275090487,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.36,1,1,0,0,3,0,462,16,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 10, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 10, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:40.852634,0,56,0.0,0
12,2429ffd1198a4808ad1c855bb6db0865,1275532890,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.28,1,1,0,0,3,0,462,10,1,0.0,12,1,"{'start_auto_explore': 1, 'move': 7, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 11, 'auto_explore_active': 1, 'visible_enemies_turns': 11, 'low_hp': 3}","{'explore': 1, 'combat_engage': 7, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:41.211364,-1,56,-0.017857142857142856,0
13,17418c074d7d4694b824c9a3c7518ece,1275891536,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.37,1,1,1,0,3,0,462,16,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 10, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 5}","{'explore': 1, 'combat_engage': 10, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:41.652733,0,56,0.0,0
14,da38a4f6eb314de0934bfeb9988b1aef,1276332943,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.28,1,1,0,0,3,0,462,10,1,0.0,12,1,"{'start_auto_explore': 1, 'move': 7, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 11, 'auto_explore_active': 1, 'visible_enemies_turns': 11, 'low_hp': 3}","{'explore': 1, 'combat_engage': 7, 'potion': 1, 'heal_low_hp': 2, 'idle': 1}",,2025-12-13T16:08:42.012596,0,56,0.0,0
15,c19faf5f3b5a4a67969108976a20482b,1276692771,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.28,1,1,0,0,2,0,462,12,1,0.0,12,1,"{'start_auto_explore': 1, 'move': 8, 'drink_potion': 2, 'noop': 1}","{'in_explore': 1, 'in_combat': 11, 'auto_explore_active': 1, 'visible_enemies_turns': 11, 'low_hp': 2}","{'explore': 1, 'combat_engage': 8, 'heal_low_hp': 1, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:42.379527,-2,56,-0.03571428571428571,1
16,8e756cfcf3ef4267b92043da912d575e,1277059725,orc_swarm_wave3,balanced,death,death,,monster_spotted,0.34,1,1,1,0,3,0,462,13,1,0.0,14,1,"{'start_auto_explore': 1, 'move': 9, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 13, 'auto_explore_active': 1, 'visible_enemies_turns': 13, 'low_hp': 5}","{'explore': 1, 'combat_engage': 9, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:08:42.792512,-3,56,-0.05357142857142857,0
