run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,d5aabacab10c4c53840a0728cb29157e,140400993,balanced,run_complete,none,Reached maximum floor limit,,0.35,1,1,0,0,0,0,0,0,1,348.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:54.789285,56,56,1.0,
2,edd223e738fc4e918ab5396ecf9836b3,141331746,balanced,run_complete,none,Reached maximum floor limit,,0.05,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:55.282872,56,56,1.0,
3,d3eb29e96e864ba8ba3ebd97aa29a463,141825200,balanced,run_complete,none,Reached maximum floor limit,,0.03,1,1,0,0,0,0,0,0,1,406.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:55.943247,56,56,1.0,
4,642e052d54e049e98034639c4eec620b,142485680,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:56.482038,56,56,1.0,
5,2c2b34fbe21b4240b29acb334a1a6ef0,143024321,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:57.026797,56,56,1.0,
6,4165efc6e9e4402c861297a2b765b50d,143569102,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,290.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:57.517197,56,56,1.0,
7,ed46b32722ea40b480241080586972ce,144059534,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:57.969749,56,56,1.0,
8,b9c06280df1c4d5eab62a1a5b289f11f,144512024,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:58.430921,56,56,1.0,
9,7490e603a269415fbbfb80eefbf63263,144973220,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,435.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:59.138037,56,56,1.0,
10,bd5b3e82942e406493b593afac1add58,145680388,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:33:59.588072,56,56,1.0,
11,2d7cd936ed0a4bc49a5a3b9f10f4b8ff,146130354,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,232.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:00.004128,56,56,1.0,
12,36babc636eac4ddeac7992313b93fe1b,146546395,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,174.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:00.341081,56,56,1.0,
13,fd23546f55cb4191baf4839e610c49d9,146883457,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,203.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:00.707696,56,56,1.0,
14,751ece17002a49248a773569ca4a56c5,147249982,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,203.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:01.083083,56,56,1.0,
15,930c1cefb740413c857bd8b3019007a5,147625424,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,435.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:01.799365,56,56,1.0,
16,1ec3cba248de46cca39d74578ef8f27c,148341653,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:02.262711,56,56,1.0,
17,b3f561bdb9284948b28a22620162e6c5,148804963,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,116.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:02.509383,56,56,1.0,
18,92eb8326c02540e684b612db3e4b6a01,149051764,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,290.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:03.035195,56,56,1.0,
19,4192ae3574cb424a91776090182b4a20,149577510,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,290.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:03.561490,56,56,1.0,
20,7b87f79b0e1a4bb98c23037f743d1d48,150103854,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:04.040594,56,56,1.0,
21,229c7f672ff94707a278fe8c68b3f874,150582923,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,203.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:04.432934,56,56,1.0,
22,cfe87812f45a40ffb31eaf9d70f85ef3,150975238,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:05.052695,56,56,1.0,
23,3c32fc1c5e6b472fb027e8e3c448e8f7,151594982,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,348.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:05.628609,56,56,1.0,
24,f82a75f66b4a4841aa3bd7ee9c973eed,152170917,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,232.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:06.037868,56,56,1.0,
25,189ff1ce6e9f4124be015ee43519cf5b,152580156,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,348.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:06.631357,56,56,1.0,
26,02496c4a08ed43948d5dfbfbafdf0207,153173698,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:07.256251,56,56,1.0,
27,d7c9e13ffb45455b9133de6bd4ad9a6c,153798560,balanced,run_complete,none,Reached maximum floor limit,,0.03,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:07.809635,56,56,1.0,
28,c1d23278e2924755b109d8edfa836839,154351937,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:08.367315,56,56,1.0,
29,a19fafc0167a48c99fa447d80da33df9,154909699,balanced,run_complete,none,Reached maximum floor limit,,0.03,1,1,0,0,0,0,0,0,1,145.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:08.652056,56,56,1.0,
30,58081f3dfb6b42cbb73c3ed80eaf32b1,155194400,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,174.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:08.988510,56,56,1.0,
31,4905c769296a4664a89617ac70b3fb15,155530842,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,145.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:09.274516,56,56,1.0,
32,12f3eb4a200a4a9798782e61f7da4516,155816838,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:09.729803,56,56,1.0,
33,b03b28d1110a46509dfaa2cce13fe2f6,156272093,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,348.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:10.320618,56,56,1.0,
34,6ceabbb0315748e78c9ea2335785b390,156862942,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,232.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:10.731515,56,56,1.0,
35,dde570f8c9d848ea82ff407e196c33e8,157273855,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:11.356463,56,56,1.0,
36,b96c762f642b4e5c816825816c415f2f,157898749,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:11.813129,56,56,1.0,
37,34707003250d4d459db43f9dbaf41471,158355486,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,290.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:12.308161,56,56,1.0,
38,8cdcbffa574b48778383b8d38c46e0ad,158850450,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:12.942180,56,56,1.0,
39,4d5af459b3084517984781382a652ba0,159484479,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,348.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:13.534083,56,56,1.0,
40,2385f79c45cc4453b4b215cfb438a807,160076466,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:13.990057,56,56,1.0,
41,e501eb104a024fc2a1b5ec967a0c0c9d,160532402,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,290.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:14.487170,56,56,1.0,
42,7fba9e6ca3924db3b28dea4c3b769d82,161029478,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,348.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:15.079031,56,56,1.0,
43,ec1fabedf1bf40859b97385b92e6d6c7,161621390,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:15.715061,56,56,1.0,
44,05cf1ddc991340ce83ce6340e001748d,162257363,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:16.268115,56,56,1.0,
45,0069ccbb47c74293b5b262195c2bf622,162810430,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:16.900707,56,56,1.0,
46,ec3627f9b69d4a0fb51a737645c61e95,163443013,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:17.453417,56,56,1.0,
47,e59bd6934e87459791f876e88ebc36c3,163995900,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:17.917987,56,56,1.0,
48,7d569bed9ca347d4a36d51203f58714f,164461264,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,406.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:18.600423,56,56,1.0,
49,622a9158e7db4d29a0ba9cff11915c66,165142746,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,319.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:19.147642,56,56,1.0,
50,5d0365ec42b845159844062d84143eef,165689945,balanced,run_complete,none,Reached maximum floor limit,,0.02,1,1,0,0,0,0,0,0,1,406.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:34:19.817647,56,56,1.0,
