run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,207b4b5e4d3d418d89f7170af8638b67,238245744,plague_gauntlet,balanced,death,death,,monster_spotted,0.7,1,1,2,0,0,0,462,10,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 11, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 4}","{'explore': 1, 'combat_engage': 11, 'idle': 1}",,2025-12-13T08:41:54.579635,0,56,0.0,0
2,04e1afe14e9c4965a124453335684030,239063652,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.46,1,1,5,5,1,0,840,123,1,0.0,130,1,"{'start_auto_explore': 102, 'move': 21, 'pickup': 5, 'drink_potion': 1, 'abort': 1}","{'in_explore': 103, 'in_combat': 21, 'auto_explore_active': 101, 'visible_enemies_turns': 21, 'low_hp': 8, 'in_loot': 6, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 21, 'loot': 5, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:41:58.083290,48,56,0.8571428571428571,
3,f693ba939ef44129a72457c09c304469,242567916,plague_gauntlet,balanced,death,death,,monster_spotted,0.38,1,1,1,0,0,0,462,14,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 5}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:41:58.536462,-1,56,-0.017857142857142856,0
4,ed152bc9e51a490aa2db9cc43e6725f1,243020463,plague_gauntlet,balanced,death,death,,monster_spotted,0.4,1,1,0,0,0,0,462,14,1,0.0,17,1,"{'start_auto_explore': 1, 'move': 15, 'noop': 1}","{'in_explore': 1, 'in_combat': 16, 'auto_explore_active': 1, 'visible_enemies_turns': 16, 'low_hp': 5}","{'explore': 1, 'combat_engage': 15, 'idle': 1}",,2025-12-13T08:41:59.017819,-3,56,-0.05357142857142857,0
5,7494a5c4cd254905aee1448596279e12,243501827,plague_gauntlet,balanced,death,death,,monster_spotted,0.3,1,1,1,0,0,0,462,11,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 11, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 3}","{'explore': 1, 'combat_engage': 11, 'idle': 1}",,2025-12-13T08:41:59.391309,0,56,0.0,0
6,c341d0b7c6e842809574970a78df9e45,243875205,plague_gauntlet,balanced,death,death,,monster_spotted,0.35,1,1,3,0,0,0,462,12,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 6}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:41:59.820339,-1,56,-0.017857142857142856,0
7,7f9a5b91e593447bbb26cebc201467c6,244304421,plague_gauntlet,balanced,death,death,,monster_spotted,0.32,1,1,2,0,0,0,462,12,1,0.0,14,1,"{'start_auto_explore': 1, 'move': 12, 'noop': 1}","{'in_explore': 1, 'in_combat': 13, 'auto_explore_active': 1, 'visible_enemies_turns': 13, 'low_hp': 4}","{'explore': 1, 'combat_engage': 12, 'idle': 1}",,2025-12-13T08:42:00.212272,0,56,0.0,0
8,1933108ff61643bab83cad7f692fadc6,244696236,plague_gauntlet,balanced,death,death,,monster_spotted,0.38,1,1,1,0,0,0,462,13,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 4}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:00.673911,-2,56,-0.03571428571428571,0
9,e7d318251336462baaf81795fc3005cd,245157879,plague_gauntlet,balanced,death,death,,monster_spotted,0.43,1,1,1,0,0,0,462,16,1,0.0,18,1,"{'start_auto_explore': 1, 'move': 16, 'noop': 1}","{'in_explore': 1, 'in_combat': 17, 'auto_explore_active': 1, 'visible_enemies_turns': 17, 'low_hp': 2}","{'explore': 1, 'combat_engage': 16, 'idle': 1}",,2025-12-13T08:42:01.183141,-2,56,-0.03571428571428571,0
10,473aefcea26849d19732cbde9812c55e,245667132,plague_gauntlet,balanced,death,death,,monster_spotted,0.32,1,1,1,0,0,0,462,11,1,0.0,14,1,"{'start_auto_explore': 1, 'move': 12, 'noop': 1}","{'in_explore': 1, 'in_combat': 13, 'auto_explore_active': 1, 'visible_enemies_turns': 13, 'low_hp': 3}","{'explore': 1, 'combat_engage': 12, 'idle': 1}",,2025-12-13T08:42:01.578237,-6,56,-0.10714285714285714,0
11,9dc290a3dca4423ab5e27c331a73fc0d,246062236,plague_gauntlet,balanced,death,death,,monster_spotted,0.35,1,1,1,0,0,0,462,13,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:42:02.001918,-2,56,-0.03571428571428571,0
12,69c34f08a65f4cd7bc48074fc411f80e,246485969,plague_gauntlet,balanced,death,death,,monster_spotted,0.51,1,1,2,0,0,0,462,18,1,0.0,21,1,"{'start_auto_explore': 1, 'move': 19, 'noop': 1}","{'in_explore': 1, 'in_combat': 20, 'auto_explore_active': 1, 'visible_enemies_turns': 20, 'low_hp': 9}","{'explore': 1, 'combat_engage': 19, 'idle': 1}",,2025-12-13T08:42:02.588177,0,56,0.0,0
13,158c387f2ed649c79d16a9294c84d416,247072213,plague_gauntlet,balanced,death,death,,monster_spotted,0.42,1,1,3,0,0,0,462,16,1,0.0,18,1,"{'start_auto_explore': 1, 'move': 16, 'noop': 1}","{'in_explore': 1, 'in_combat': 17, 'auto_explore_active': 1, 'visible_enemies_turns': 17, 'low_hp': 7}","{'explore': 1, 'combat_engage': 16, 'idle': 1}",,2025-12-13T08:42:03.083430,0,56,0.0,0
14,5a079f73d6ca4b41a8cd5e5d1c98b4aa,247567388,plague_gauntlet,balanced,death,death,,monster_spotted,0.38,1,1,1,0,0,0,462,13,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 4}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:03.536700,-3,56,-0.05357142857142857,0
15,3602f536426541d9b4396601f0609698,248020595,plague_gauntlet,balanced,death,death,,monster_spotted,0.59,1,1,1,0,0,0,462,21,1,0.0,24,1,"{'start_auto_explore': 1, 'move': 22, 'noop': 1}","{'in_explore': 1, 'in_combat': 23, 'auto_explore_active': 1, 'visible_enemies_turns': 23, 'low_hp': 9}","{'explore': 1, 'combat_engage': 22, 'idle': 1}",,2025-12-13T08:42:04.201131,0,56,0.0,0
16,caa8a89cccaa4b54bf0a33eb18841c35,248685112,plague_gauntlet,balanced,death,death,,monster_spotted,0.35,1,1,2,0,0,0,462,12,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:42:04.638603,-2,56,-0.03571428571428571,0
