run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,3b55818aaf3f4af8b3cc49e7c8350e11,1292660830,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,4.29,1,1,3,7,2,0,840,133,1,0.0,143,1,"{'start_auto_explore': 106, 'move': 27, 'drink_potion': 2, 'pickup': 7, 'abort': 1}","{'in_explore': 107, 'in_combat': 29, 'auto_explore_active': 105, 'visible_enemies_turns': 29, 'low_hp': 5, 'in_loot': 7, 'floor_complete': 1}","{'explore': 106, 'combat_engage': 27, 'heal_low_hp': 2, 'loot': 7, 'no_stairs': 1}",,2025-12-13T16:09:02.360074,38,56,0.6785714285714286,
2,02d4a282d9214d6687f939860653fec9,1297040719,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.58,1,1,3,6,2,0,840,123,1,0.0,133,1,"{'start_auto_explore': 103, 'move': 21, 'drink_potion': 2, 'pickup': 6, 'abort': 1}","{'in_explore': 104, 'in_combat': 23, 'auto_explore_active': 102, 'visible_enemies_turns': 27, 'low_hp': 4, 'in_loot': 6, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 21, 'heal_low_hp': 2, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:09:05.991349,34,56,0.6071428571428571,
3,7d012530adce449188dd419a61887322,1300671770,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.69,1,1,4,4,2,0,840,132,1,0.0,138,1,"{'start_auto_explore': 99, 'move': 32, 'drink_potion': 2, 'pickup': 4, 'abort': 1}","{'in_explore': 100, 'in_combat': 34, 'auto_explore_active': 99, 'visible_enemies_turns': 38, 'low_hp': 3, 'in_loot': 4, 'floor_complete': 1}","{'explore': 99, 'combat_engage': 32, 'heal_low_hp': 2, 'loot': 4, 'no_stairs': 1}",,2025-12-13T16:09:09.728757,39,56,0.6964285714285714,
4,62ac8e6eb61446d58e60237a5dec863c,1304409080,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.31,1,1,3,5,1,0,840,117,1,0.0,126,1,"{'start_auto_explore': 102, 'move': 17, 'drink_potion': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 103, 'in_combat': 18, 'auto_explore_active': 101, 'visible_enemies_turns': 18, 'low_hp': 3, 'in_loot': 5, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 17, 'heal_low_hp': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:09:13.089867,55,56,0.9821428571428571,
5,25087038ad014daa86b77399bdfe9a68,1307770178,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.58,1,1,4,4,4,0,840,129,1,0.0,134,1,"{'start_auto_explore': 99, 'move': 26, 'drink_potion': 4, 'pickup': 4, 'abort': 1}","{'in_explore': 100, 'in_combat': 30, 'auto_explore_active': 98, 'visible_enemies_turns': 30, 'low_hp': 5, 'in_loot': 4, 'floor_complete': 1}","{'explore': 99, 'combat_engage': 26, 'heal_low_hp': 3, 'potion': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-13T16:09:16.719023,37,56,0.6607142857142857,
6,adb133fd7f7244b1bc2a65c830ff04c4,1311399429,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.59,1,1,4,5,2,0,840,125,1,0.0,133,1,"{'start_auto_explore': 101, 'move': 24, 'drink_potion': 2, 'pickup': 5, 'abort': 1}","{'in_explore': 102, 'in_combat': 26, 'auto_explore_active': 100, 'visible_enemies_turns': 26, 'low_hp': 1, 'in_loot': 5, 'floor_complete': 1}","{'explore': 101, 'combat_engage': 24, 'potion': 1, 'heal_low_hp': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:09:20.356996,45,56,0.8035714285714286,
7,7046ef236e0d4c65a27845827dfc745d,1315037363,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.58,1,1,3,5,2,0,840,125,1,0.0,133,1,"{'start_auto_explore': 102, 'move': 23, 'drink_potion': 2, 'pickup': 5, 'abort': 1}","{'in_explore': 103, 'in_combat': 25, 'auto_explore_active': 101, 'visible_enemies_turns': 25, 'low_hp': 2, 'in_loot': 5, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 23, 'heal_low_hp': 2, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:09:23.995904,55,56,0.9821428571428571,
8,7f60b41cbf6e4110bd1ac8fbcac88599,1318676176,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.56,1,1,4,6,1,0,840,122,1,0.0,132,1,"{'start_auto_explore': 105, 'move': 19, 'drink_potion': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 106, 'in_combat': 20, 'auto_explore_active': 104, 'visible_enemies_turns': 24, 'low_hp': 1, 'in_loot': 6, 'floor_complete': 1}","{'explore': 105, 'combat_engage': 19, 'heal_low_hp': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:09:27.605649,34,56,0.6071428571428571,
9,fc21000627ad4dba942f776a887a0b97,1322286023,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.34,1,1,3,6,1,0,840,114,1,0.0,124,1,"{'start_auto_explore': 103, 'move': 13, 'drink_potion': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 104, 'in_combat': 14, 'auto_explore_active': 102, 'visible_enemies_turns': 14, 'low_hp': 1, 'in_loot': 6, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 13, 'heal_low_hp': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:09:30.995455,55,56,0.9821428571428571,
10,14b8ab57a2f9487485a40a4c3b74e3cd,1325675773,plague_gauntlet,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,0.74,1,1,3,0,2,0,483,24,1,0.0,29,1,"{'start_auto_explore': 3, 'move': 23, 'drink_potion': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 26, 'auto_explore_active': 7, 'visible_enemies_turns': 27, 'low_hp': 4}","{'explore': 3, 'combat_engage': 23, 'heal_low_hp': 2, 'stuck_movement_blocked': 1}",,2025-12-13T16:09:31.784072,38,56,0.6785714285714286,
11,6b343668139446a5a6e5f9e177c6ed6f,1326464209,plague_gauntlet,balanced,death,death,,monster_spotted,0.27,1,1,1,0,0,0,462,10,1,0.0,12,1,"{'start_auto_explore': 1, 'move': 10, 'noop': 1}","{'in_explore': 1, 'in_combat': 11, 'auto_explore_active': 1, 'visible_enemies_turns': 11, 'low_hp': 2}","{'explore': 1, 'combat_engage': 10, 'idle': 1}",,2025-12-13T16:09:32.129674,-2,56,-0.03571428571428571,1
12,2c2f25f1c49442f8a6a34af5138478f9,1326809738,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.42,1,1,3,6,1,0,840,122,1,0.0,132,1,"{'start_auto_explore': 104, 'move': 20, 'drink_potion': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 105, 'in_combat': 21, 'auto_explore_active': 103, 'visible_enemies_turns': 21, 'low_hp': 1, 'in_loot': 6, 'floor_complete': 1}","{'explore': 104, 'combat_engage': 20, 'heal_low_hp': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:09:35.599268,32,56,0.5714285714285714,
13,7a44e8e863e04b8dafe13a164213cadd,1330279693,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.38,1,1,2,4,2,0,840,117,1,0.0,125,1,"{'start_auto_explore': 99, 'move': 19, 'drink_potion': 2, 'pickup': 4, 'abort': 1}","{'in_explore': 100, 'in_combat': 21, 'auto_explore_active': 98, 'visible_enemies_turns': 21, 'low_hp': 4, 'in_loot': 4, 'floor_complete': 1}","{'explore': 99, 'combat_engage': 19, 'heal_low_hp': 2, 'loot': 4, 'no_stairs': 1}",,2025-12-13T16:09:39.030188,54,56,0.9642857142857143,
