run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,795c585bd1c1422a8a256f2643e74f31,807829102,aggressive,no_stairs,no_stairs,"no_stairs:unreachable_at_(86, 31)",all_areas_explored,32.3,2,2,13,0,1,0,876,913,2,421.5,953,2,"{'start_auto_explore': 479, 'move': 469, 'drink_potion': 1, 'noop': 2, 'take_stairs': 1, 'abort': 1}","{'in_explore': 574, 'in_combat': 379, 'auto_explore_active': 620, 'visible_enemies_turns': 358, 'low_hp': 572, 'floor_complete': 185}","{'explore': 479, 'combat_engage': 375, 'heal_low_hp': 1, 'idle': 2, 'navigate': 94, 'descend': 1, 'no_stairs:unreachable_at_(86, 31)': 1}",,2025-12-12T20:20:19.041572,-5,56,-0.08928571428571429,
2,1e42ef7d9ddd44f7831cf92db96090e4,840684025,aggressive,max_turns,max_turns,Hit turn limit (2000),none,57.44,1,1,1,0,0,0,169,2004,1,290.0,2003,1,"{'start_auto_explore': 1992, 'move': 11}","{'in_explore': 1992, 'in_combat': 11, 'auto_explore_active': 1991, 'visible_enemies_turns': 11}","{'explore': 1992, 'combat_engage': 11}",,2025-12-12T20:21:16.977485,47,56,0.8392857142857143,
3,5f19adff8d324a53ad3d0669015e762e,898623781,aggressive,run_complete,none,Reached maximum floor limit,all_areas_explored,44.43,3,3,14,0,1,0,98,1191,3,344.33,1240,3,"{'start_auto_explore': 890, 'move': 345, 'drink_potion': 1, 'noop': 2, 'take_stairs': 2}","{'in_explore': 927, 'auto_explore_active': 951, 'in_combat': 313, 'visible_enemies_turns': 339, 'low_hp': 810, 'floor_complete': 162}","{'explore': 890, 'combat_engage': 309, 'heal_low_hp': 1, 'idle': 2, 'navigate': 36, 'descend': 2}",,2025-12-12T20:22:01.863333,26,56,0.4642857142857143,
4,fdd0dc96b1324a0696d255c2fdc6390f,943506628,aggressive,run_complete,none,Reached maximum floor limit,all_areas_explored,36.16,3,3,15,0,1,0,123,1045,3,397.0,1088,3,"{'start_auto_explore': 726, 'move': 357, 'drink_potion': 1, 'noop': 2, 'take_stairs': 2}","{'in_explore': 743, 'in_combat': 345, 'auto_explore_active': 746, 'visible_enemies_turns': 249, 'low_hp': 790, 'floor_complete': 175}","{'explore': 726, 'combat_engage': 341, 'heal_low_hp': 1, 'idle': 2, 'navigate': 16, 'descend': 2}",,2025-12-12T20:22:38.594904,24,56,0.42857142857142855,
5,cc6c3a09aa39448cbb7bdce599c2bc27,980237879,aggressive,no_stairs,no_stairs,"no_stairs:unreachable_at_(101, 60)",cannot_reach_unexplored,16.81,1,1,7,0,1,0,2511,458,1,377.0,522,1,"{'start_auto_explore': 278, 'move': 240, 'noop': 2, 'drink_potion': 1, 'abort': 1}","{'in_explore': 279, 'in_combat': 243, 'auto_explore_active': 387, 'visible_enemies_turns': 273, 'low_hp': 260, 'floor_complete': 5}","{'explore': 278, 'combat_engage': 240, 'idle': 2, 'heal_low_hp': 1, 'no_stairs:unreachable_at_(101, 60)': 1}",,2025-12-12T20:22:56.022016,-5,56,-0.08928571428571429,
6,b7619ae5d7fb4cc3b0daa3e7401c3715,997663291,aggressive,max_turns,max_turns,Hit turn limit (2000),none,68.93,1,1,1,0,0,0,1655,2008,1,203.0,2017,1,"{'start_auto_explore': 2001, 'move': 16}","{'in_explore': 2001, 'auto_explore_active': 1993, 'in_combat': 16, 'visible_enemies_turns': 16}","{'explore': 2001, 'combat_engage': 16}",,2025-12-12T20:24:05.315925,20,56,0.35714285714285715,
7,e621f5bcfadf4606bfb1d969a56af532,1066960352,aggressive,run_complete,none,Reached maximum floor limit,all_areas_explored,48.83,3,3,12,0,1,0,68,1289,3,349.67,1362,3,"{'start_auto_explore': 651, 'move': 707, 'drink_potion': 1, 'noop': 1, 'take_stairs': 2}","{'in_explore': 670, 'in_combat': 692, 'auto_explore_active': 985, 'visible_enemies_turns': 567, 'low_hp': 976, 'floor_complete': 213}","{'explore': 651, 'combat_engage': 688, 'heal_low_hp': 1, 'idle': 1, 'descend': 2, 'navigate': 19}",,2025-12-12T20:24:54.696928,50,56,0.8928571428571429,
8,046e6cc191af4b80ab8eb38202195cf1,1116339596,aggressive,max_turns,max_turns,Hit turn limit (2000),none,55.58,1,1,1,0,0,0,94,2002,1,232.0,2003,1,"{'start_auto_explore': 1996, 'move': 7}","{'in_explore': 1996, 'in_combat': 7, 'auto_explore_active': 1995, 'visible_enemies_turns': 7}","{'explore': 1996, 'combat_engage': 7}",,2025-12-12T20:25:50.685817,56,56,1.0,
9,0ad6818396ed44fd8e2a285c03f06a27,1172330411,aggressive,run_complete,none,Reached maximum floor limit,all_areas_explored,49.99,3,3,10,0,1,0,146,1323,3,364.0,1399,3,"{'start_auto_explore': 802, 'move': 592, 'drink_potion': 1, 'noop': 2, 'take_stairs': 2}","{'in_explore': 969, 'in_combat': 430, 'auto_explore_active': 1061, 'visible_enemies_turns': 559, 'low_hp': 394, 'floor_complete': 192}","{'explore': 802, 'combat_engage': 426, 'heal_low_hp': 1, 'idle': 2, 'navigate': 166, 'descend': 2}",,2025-12-12T20:26:41.179978,28,56,0.5,
10,d720c2ec0f954553b6736dec558df494,1222823568,aggressive,max_turns,max_turns,Hit turn limit (2000),none,58.15,1,1,2,0,0,0,527,2008,1,435.0,2020,1,"{'start_auto_explore': 1993, 'move': 27}","{'in_explore': 1993, 'in_combat': 27, 'auto_explore_active': 1989, 'visible_enemies_turns': 33}","{'explore': 1993, 'combat_engage': 27}",,2025-12-12T20:27:40.042401,33,56,0.5892857142857143,
