run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,d9c4968ffe514607a84016b4bf77cfe2,1106218995,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,10.6,1,1,2,12,0,0,1636,256,1,290.0,315,1,"{'start_auto_explore': 275, 'pickup': 12, 'move': 27, 'abort': 1}","{'in_explore': 276, 'auto_explore_active': 259, 'in_loot': 12, 'in_combat': 27, 'visible_enemies_turns': 32}","{'explore': 275, 'loot': 12, 'combat_engage': 27, 'stuck_movement_blocked': 1}",,2025-12-12T21:00:43.169093,31,56,0.5535714285714286,
2,1104fc3308ea48e1936e50864a7248fb,1117326753,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,37.7,3,3,12,32,3,0,131,1015,3,363.33,1087,3,"{'start_auto_explore': 824, 'move': 226, 'pickup': 32, 'drink_potion': 3, 'take_stairs': 2}","{'in_explore': 888, 'in_combat': 167, 'auto_explore_active': 839, 'visible_enemies_turns': 191, 'in_loot': 32, 'low_hp': 22, 'floor_complete': 83}","{'explore': 824, 'combat_engage': 163, 'loot': 32, 'heal_low_hp': 3, 'navigate': 63, 'descend': 2}",,2025-12-12T21:01:21.407738,56,56,1.0,
3,a3aced2879ce404e831d7a3d78c9912b,1155567045,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,47.67,3,3,12,28,3,0,82,1261,3,335.67,1334,3,"{'start_auto_explore': 782, 'pickup': 28, 'move': 518, 'drink_potion': 3, 'noop': 1, 'take_stairs': 2}","{'in_explore': 962, 'auto_explore_active': 914, 'in_loot': 28, 'in_combat': 344, 'visible_enemies_turns': 359, 'low_hp': 32, 'floor_complete': 253}","{'explore': 782, 'loot': 28, 'combat_engage': 339, 'heal_low_hp': 3, 'idle': 1, 'navigate': 179, 'descend': 2}",,2025-12-12T21:02:09.557488,41,56,0.7321428571428571,
4,7adedb0d19784c3c95799f1d19986478,1203716823,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,13.48,1,1,8,13,2,0,1518,375,1,290.0,438,1,"{'start_auto_explore': 182, 'move': 240, 'pickup': 13, 'drink_potion': 2, 'abort': 1}","{'in_explore': 183, 'in_combat': 242, 'auto_explore_active': 324, 'visible_enemies_turns': 270, 'in_loot': 13, 'low_hp': 9}","{'explore': 182, 'combat_engage': 240, 'loot': 13, 'heal_low_hp': 2, 'stuck_movement_blocked': 1}",,2025-12-12T21:02:23.548157,49,56,0.875,
5,5e2cf9f99e1e44d0a1bb0d0b5ec1e017,1217705763,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,49.39,3,3,16,37,4,0,94,1286,3,456.33,1364,3,"{'start_auto_explore': 853, 'move': 468, 'pickup': 37, 'drink_potion': 4, 'take_stairs': 2}","{'in_explore': 973, 'in_combat': 354, 'auto_explore_active': 1015, 'visible_enemies_turns': 388, 'in_loot': 37, 'low_hp': 118, 'floor_complete': 134}","{'explore': 853, 'combat_engage': 349, 'loot': 37, 'heal_low_hp': 4, 'navigate': 119, 'descend': 2}",,2025-12-12T21:03:13.665063,56,56,1.0,
6,4c0b917373834041b1c72dfcf82f2423,1267824026,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,48.12,3,3,14,33,6,0,152,1346,3,388.0,1404,3,"{'start_auto_explore': 825, 'move': 536, 'pickup': 33, 'drink_potion': 6, 'noop': 2, 'take_stairs': 2}","{'in_explore': 1061, 'in_combat': 310, 'auto_explore_active': 878, 'visible_enemies_turns': 499, 'in_loot': 33, 'low_hp': 284, 'floor_complete': 311}","{'explore': 825, 'combat_engage': 301, 'loot': 33, 'heal_low_hp': 6, 'idle': 2, 'navigate': 235, 'descend': 2}",,2025-12-12T21:04:02.445875,30,56,0.5357142857142857,
7,bb5d4b00d11546a99588db87012e174a,1316604916,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,49.27,3,3,12,35,5,0,70,1259,3,370.67,1357,3,"{'start_auto_explore': 1069, 'move': 244, 'pickup': 35, 'noop': 2, 'drink_potion': 5, 'take_stairs': 2}","{'in_explore': 1107, 'in_combat': 215, 'auto_explore_active': 1097, 'visible_enemies_turns': 197, 'in_loot': 35, 'low_hp': 38, 'floor_complete': 83}","{'explore': 1069, 'combat_engage': 207, 'loot': 35, 'idle': 2, 'heal_low_hp': 5, 'navigate': 37, 'descend': 2}",,2025-12-12T21:04:52.263719,56,56,1.0,
8,f5e18ab6e5b444278579691d265194bf,1366423535,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,58.95,3,3,13,38,5,0,115,1532,3,377.0,1627,3,"{'start_auto_explore': 1216, 'move': 366, 'pickup': 38, 'drink_potion': 5, 'take_stairs': 2}","{'in_explore': 1353, 'in_combat': 235, 'auto_explore_active': 1235, 'visible_enemies_turns': 222, 'in_loot': 39, 'low_hp': 43, 'floor_complete': 190}","{'explore': 1216, 'combat_engage': 231, 'loot': 38, 'heal_low_hp': 5, 'navigate': 135, 'descend': 2}",,2025-12-12T21:05:51.795158,56,56,1.0,
9,a680d60259bb44ada8af1b0d169e71d8,1425954703,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,49.14,3,3,11,31,2,0,93,1222,3,358.67,1320,3,"{'start_auto_explore': 996, 'pickup': 31, 'move': 289, 'drink_potion': 2, 'take_stairs': 2}","{'in_explore': 1076, 'auto_explore_active': 1048, 'in_loot': 31, 'visible_enemies_turns': 257, 'in_combat': 213, 'low_hp': 6, 'floor_complete': 127}","{'explore': 996, 'loot': 31, 'combat_engage': 210, 'heal_low_hp': 2, 'navigate': 79, 'descend': 2}",,2025-12-12T21:06:41.379951,56,56,1.0,
10,9006ca66245f43af857052deb6c2273f,1475538794,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,45.47,3,3,12,32,5,0,98,1146,3,390.0,1233,3,"{'start_auto_explore': 894, 'pickup': 32, 'move': 298, 'drink_potion': 5, 'noop': 2, 'take_stairs': 2}","{'in_explore': 978, 'auto_explore_active': 914, 'in_loot': 32, 'in_combat': 223, 'visible_enemies_turns': 209, 'low_hp': 49, 'floor_complete': 134}","{'explore': 894, 'loot': 32, 'combat_engage': 215, 'heal_low_hp': 5, 'idle': 2, 'navigate': 83, 'descend': 2}",,2025-12-12T21:07:27.340686,56,56,1.0,
