run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,848810d74caa486188a2a269c8053a99,1739198391,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.82,1,1,12,0,0,0,483,540,1,0.0,504,1,"{'start_auto_explore': 417, 'move': 86, 'noop': 1}","{'in_explore': 417, 'in_combat': 87, 'auto_explore_active': 416, 'visible_enemies_turns': 87, 'low_hp': 496}","{'explore': 417, 'combat_engage': 86, 'idle': 1}",,2025-12-13T07:55:33.656002,-1,56,-0.017857142857142856,
2,bdb0218dbd394c7396cbe724894e2815,1753108700,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.49,1,1,12,0,0,0,483,548,1,0.0,504,1,"{'start_auto_explore': 422, 'move': 81, 'noop': 1}","{'in_explore': 422, 'in_combat': 82, 'auto_explore_active': 421, 'visible_enemies_turns': 82, 'low_hp': 497}","{'explore': 422, 'combat_engage': 81, 'idle': 1}",,2025-12-13T07:55:47.207316,-12,56,-0.21428571428571427,
3,7e96fd5091b74ee78a2d7ebe14f8be0e,1766661135,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.61,1,1,11,0,0,0,483,550,1,0.0,504,1,"{'start_auto_explore': 3, 'move': 500, 'noop': 1}","{'in_explore': 3, 'in_combat': 501, 'auto_explore_active': 415, 'visible_enemies_turns': 503, 'low_hp': 498}","{'explore': 3, 'combat_engage': 500, 'idle': 1}",,2025-12-13T07:56:00.880015,-9,56,-0.16071428571428573,
4,aa18b4003a2d432c81030092c485bb96,1780332885,orc_swarm_wave3,aggressive,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.55,1,1,9,0,0,0,547,133,1,0.0,95,1,"{'start_auto_explore': 3, 'move': 90, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 92, 'auto_explore_active': 12, 'visible_enemies_turns': 94, 'low_hp': 89}","{'explore': 3, 'combat_engage': 90, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T07:56:03.485610,-8,56,-0.14285714285714285,
5,14c143124c7346c6b8a62008c36eac46,1782937153,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.4,1,1,12,0,0,0,483,542,1,0.0,504,1,"{'start_auto_explore': 420, 'move': 83, 'noop': 1}","{'in_explore': 420, 'in_combat': 84, 'auto_explore_active': 419, 'visible_enemies_turns': 84, 'low_hp': 498}","{'explore': 420, 'combat_engage': 83, 'idle': 1}",,2025-12-13T07:56:16.936836,-5,56,-0.08928571428571429,
6,0ba2a37d8f844da99201e585d4b471de,1796388906,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.42,1,1,11,0,0,0,483,540,1,0.0,504,1,"{'start_auto_explore': 3, 'move': 500, 'noop': 1}","{'in_explore': 3, 'in_combat': 501, 'auto_explore_active': 434, 'visible_enemies_turns': 503, 'low_hp': 497}","{'explore': 3, 'combat_engage': 500, 'idle': 1}",,2025-12-13T07:56:30.410330,-1,56,-0.017857142857142856,
7,ea513ffb6eaa417faace042a0af60f53,1809862977,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.53,1,1,12,0,0,0,483,557,1,0.0,504,1,"{'start_auto_explore': 393, 'move': 110, 'noop': 1}","{'in_explore': 393, 'in_combat': 111, 'auto_explore_active': 392, 'visible_enemies_turns': 111, 'low_hp': 497}","{'explore': 393, 'combat_engage': 110, 'idle': 1}",,2025-12-13T07:56:44.013568,-1,56,-0.017857142857142856,
8,39051cfd068543abb2c21d62cf194c18,1823466235,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.48,1,1,12,0,0,0,483,551,1,0.0,504,1,"{'start_auto_explore': 407, 'move': 96, 'noop': 1}","{'in_explore': 407, 'in_combat': 97, 'auto_explore_active': 406, 'visible_enemies_turns': 97, 'low_hp': 497}","{'explore': 407, 'combat_engage': 96, 'idle': 1}",,2025-12-13T07:56:57.554726,-1,56,-0.017857142857142856,
9,4d2fea1979134c64aa835fa33d852ee5,1837007477,orc_swarm_wave3,aggressive,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.14,1,1,9,0,0,0,547,111,1,0.0,80,1,"{'start_auto_explore': 3, 'move': 75, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 77, 'auto_explore_active': 12, 'visible_enemies_turns': 79, 'low_hp': 75}","{'explore': 3, 'combat_engage': 75, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T07:56:59.753548,-3,56,-0.05357142857142857,
10,e7731c11ff2e410884701a89f8ee980b,1839204916,orc_swarm_wave3,aggressive,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.76,1,1,10,0,0,0,547,141,1,0.0,103,1,"{'start_auto_explore': 3, 'move': 98, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 100, 'auto_explore_active': 26, 'visible_enemies_turns': 102, 'low_hp': 97}","{'explore': 3, 'combat_engage': 98, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T07:57:02.560452,-3,56,-0.05357142857142857,
11,db65a4dd8fd84fe88ccc4a9c3c4767da,1842011885,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.46,1,1,12,0,0,0,483,547,1,0.0,504,1,"{'start_auto_explore': 419, 'move': 84, 'noop': 1}","{'in_explore': 419, 'in_combat': 85, 'auto_explore_active': 418, 'visible_enemies_turns': 85, 'low_hp': 496}","{'explore': 419, 'combat_engage': 84, 'idle': 1}",,2025-12-13T07:57:16.072105,-3,56,-0.05357142857142857,
12,8c67f27910bb48c5b836704b64349075,1855524770,orc_swarm_wave3,aggressive,max_turns,max_turns,Hit turn limit (500),none,13.33,1,1,12,0,0,0,483,547,1,0.0,504,1,"{'start_auto_explore': 414, 'move': 89, 'noop': 1}","{'in_explore': 414, 'in_combat': 90, 'auto_explore_active': 413, 'visible_enemies_turns': 90, 'low_hp': 497}","{'explore': 414, 'combat_engage': 89, 'idle': 1}",,2025-12-13T07:57:29.456660,-1,56,-0.017857142857142856,
13,bcfd5394acc14d5d92262cd8cccf520c,1868909076,orc_swarm_wave3,aggressive,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.55,1,1,9,0,0,0,547,135,1,0.0,95,1,"{'start_auto_explore': 3, 'move': 90, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 92, 'auto_explore_active': 16, 'visible_enemies_turns': 94, 'low_hp': 89}","{'explore': 3, 'combat_engage': 90, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-13T07:57:32.070469,-3,56,-0.05357142857142857,
